0, 2887680, 3796992, 17, 25, 17, 1, 0.000031851, 0.000001342, 0.000014792, 0.000014503, 0.000002365, false
1, 2912256, 3796992, 25, 43, 24, 3, 0.000050892, 0.000197727, 0.000020457, 0.000025904, 0.000004401, false
2, 2945024, 3932160, 43, 80, 39, 10, 0.00011419, 0.000145756, 0.000033505, 0.000057914, 0.000022656, false
3, 3022848, 3932160, 84, 144, 66, 23, 0.000143328, 0.000095878, 0.000038775, 0.000079026, 0.00002544, false
4, 3096576, 4067328, 158, 256, 108, 51, 0.000385178, 0.000098356, 0.000073083, 0.000129316, 0.00018269, false
5, 3305472, 4251648, 284, 503, 172, 107, 0.000704281, 0.000097996, 0.000140615, 0.000296243, 0.000267336, false
6, 3706880, 4702208, 553, 987, 316, 238, 0.001644643, 0.000102096, 0.000286241, 0.000794974, 0.000563164, false
7, 4591616, 5582848, 1174, 1980, 574, 586, 0.00356686, 0.000220239, 0.00092736, 0.001704569, 0.00093479, false
8, 6766592, 7692288, 2614, 4243, 1078, 1840, 0.006544941, 0.000096227, 0.000775131, 0.002849246, 0.00292017, false
9, 14811136, 16138240, 6758, 9543, 2119, 6429, 0.018351446, 0.000092633, 0.001601086, 0.00987245, 0.006877794, false
10, 14811136, 16138240, 20157, 9543, 4595, 0, 0.000216096, 0.000163844, 0.000000043, 0.000000374, 0.000215324, true
